RUBRO,AÑOMES,CONCEPTO,60 - BANCO MUNDO MUJER S.A.,52 - BANCAMÍA S.A.,53 - BANCO W S.A.,62 - MIBANCO S.A.,30 - BANCO CAJA SOCIAL S.A.
141000,202302,CARTERA Y OPERACIONES DE LEASING COMERCIALES,363.82460407,147.39306548,176.40491169,386.44968278,2418.65456491
141000,202303,CARTERA Y OPERACIONES DE LEASING COMERCIALES,371.04752695999997,148.84370968000002,177.49859869,392.52608309,2399.02026806
141000,202304,CARTERA Y OPERACIONES DE LEASING COMERCIALES,375.16515257,149.05616429,177.61363212,396.25562581,2392.4398426999996
141000,202305,CARTERA Y OPERACIONES DE LEASING COMERCIALES,379.22202533999996,148.93183907,177.86183766,400.94508728,2382.7615108
141000,202306,CARTERA Y OPERACIONES DE LEASING COMERCIALES,384.16249901,152.67341482,178.52500705,412.14034770999996,2361.64621729
141000,202307,CARTERA Y OPERACIONES DE LEASING COMERCIALES,387.09729663999997,151.33142372999998,178.65283191,413.94078123,2331.51256313
141000,202308,CARTERA Y OPERACIONES DE LEASING COMERCIALES,389.70470645999995,149.83977652000002,180.76014834999998,420.32498914,2314.33109888
141000,202309,CARTERA Y OPERACIONES DE LEASING COMERCIALES,391.28230951999996,146.50212775,183.10102433,430.11027277999995,2333.88125283
141000,202310,CARTERA Y OPERACIONES DE LEASING COMERCIALES,391.85845876999997,144.86999304,186.12529855000002,437.03970677,2308.11930328
141005,202211,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,335.37755252,139.26067793,142.34363395,348.36028894,2323.4139300399997
141005,202212,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,340.91711291,141.00011107,144.5857689,366.37433768,2250.27033737
141005,202301,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,341.14118821,138.65274287,142.65509672,369.49119774,2218.69436923
141005,202302,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,346.25898648000003,138.39631426,142.70920859,372.75486188,2230.24501184
141005,202303,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,352.72649264,139.70003114,145.04254289,379.68817726,2210.2717007399997
141005,202304,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,356.00860288,138.56903286000002,145.54514659999998,381.88091884,2204.6728482
141005,202305,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,358.53352271,137.94439061000003,145.20900518000002,384.29663482999996,2196.0027214
141005,202306,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,362.97088296,142.70919788999998,139.30204296,392.8281913,2155.8301021300003
141005,202307,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,364.36847372000005,139.25379193,142.00804159,391.69208872,2130.5016632
141005,202308,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,364.9087622,137.74661394,145.00015555000002,395.18888252999994,2102.16043729
141005,202309,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,365.10385070999996,132.35735767,147.41468125,403.00874666000004,2130.64208032
141005,202310,CATEGORIA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING,364.24310532,129.07318868000002,151.23752351,406.69887814,2101.16283472
141010,202211,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,4.06182739,2.73764325,11.46038707,3.77841489,23.669767800000002
141010,202212,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,4.77958339,3.42740036,10.7539544,5.06040159,32.10349356
141010,202301,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,5.5175702,3.61296028,11.74740074,5.74527527,35.12165642
141010,202302,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,5.7360282,4.31526178,11.91801966,5.79586365,35.00052028
141010,202303,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,6.45523727,3.54833476,11.04228957,4.26112806,36.23601929
141010,202304,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,7.30980919,4.689569769999999,11.10599351,4.826858400000001,32.59615236
141010,202305,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,8.34587282,4.47049925,10.89432465,5.39365956,25.99070748
141010,202306,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,7.92841318,3.24793016,17.05491845,6.30025917,46.216625810000004
141010,202307,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,8.14439131,4.53246073,14.417496230000001,6.7245002000000005,39.60916221
141010,202308,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,9.154702859999999,4.02778229,13.329937,7.56556814,49.112842189999995
141010,202309,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,9.61490858,6.87419969,13.52918625,7.35599658,39.34070639
141010,202310,CATEGORIA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEAS,10.03882375,7.34561716,12.37701508,8.627824720000001,39.02197983
141015,202211,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",1.9583754,1.38489554,2.96606667,1.95639187,7.05285774
141015,202212,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",1.9370562199999999,1.71389148,2.72821171,2.18347244,9.57481168
141015,202301,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",1.82832241,1.72694359,2.90699842,2.31545227,9.55812717
141015,202302,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",2.1470279700000003,1.33718247,3.110398,2.68890912,7.98682888
141015,202303,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",2.5780897,1.7727956,3.22843254,2.0321073,5.39373426
141015,202304,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",2.74572605,1.94219842,2.68426257,1.9505376,7.148818940000001
141015,202305,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",2.6033703900000003,1.9310623999999998,3.07006991,2.2985717599999997,11.75330282
141015,202306,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",3.12776788,1.32201342,3.0082785800000003,2.73941788,8.03927944
141015,202307,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",3.59531577,2.41649737,2.7512253199999996,2.4668882400000003,9.902204919999999
141015,202308,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",4.32002406,1.7473447,3.15688184,2.7116023,11.41901787
141015,202309,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",4.496999809999999,1.6619658700000002,3.3789270499999997,2.76563727,9.511043769999999
141015,202310,"CATEGORIA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LE",4.56401709,1.60950793,3.43683719,2.9804299100000002,11.68392656
141020,202211,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,5.263919980000001,3.98115477,10.89009225,4.10102922,43.43643461
141020,202212,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,5.836685480000001,2.4276455,11.50164748,3.7039132599999998,48.28531844
141020,202301,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,6.192762559999999,3.0713087999999997,11.04168365,4.04736015,46.72101413
141020,202302,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,6.021968070000001,3.07025395,10.68025842,4.7264039900000006,50.30755471
141020,202303,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,5.485316650000001,3.50232721,9.81907271,6.0714555,52.72950128
141020,202304,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,5.5263186,3.4945578399999997,9.77517428,6.901935730000001,52.99751462
141020,202305,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,6.19936227,4.19382816,8.68989304,8.12985894,53.287168109999996
141020,202306,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,6.33074425,4.8936777199999995,8.00705093,9.2706819,59.643222890000004
141020,202307,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,7.06422546,4.5013295,8.24351323,11.51190402,57.06346316
141020,202308,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,7.24365565,5.67411689,7.99347375,12.738657810000001,56.14648939
141020,202309,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,7.94542636,5.0384592,7.43843608,14.86751393,59.874339729999996
141020,202310,CATEGORIA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE,8.922038220000001,6.27785316,8.223923169999999,16.634179539999998,62.04298454
141025,202211,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.86085004,0.23070926,7.70257121,0.5581156700000001,95.11939775
141025,202212,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,4.08571278,0.23070926,7.26894393,0.6548876899999999,93.665805
141025,202301,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.65496819,0.22040076,7.59430567,0.55260131,94.12818095
141025,202302,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.66059335,0.27405303000000003,7.987027019999999,0.48364415000000005,95.11464919
141025,202303,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.8023907,0.32022098,8.366260969999999,0.47321496999999996,94.38931248
141025,202304,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.57469584,0.3608054,8.50305517,0.69537524,95.02450857
141025,202305,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.53989715,0.39205865999999995,9.99854488,0.82636219,95.72761098999999
141025,202306,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.8046907400000003,0.50059563,11.15271613,1.00179746,91.91698701
141025,202307,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,3.92489038,0.6273441999999999,11.23255554,1.54540006,94.43606962999999
141025,202308,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,4.0775617,0.6439186899999999,11.279700210000001,2.12027836,95.49231213
141025,202309,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,4.12112405,0.57014533,11.339793689999999,2.11237834,94.51308261
141025,202310,CATEGORIA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES,4.09047439,0.5638261,10.8499996,2.09839446,94.20757762999999
141200,202211,CARTERA Y LEASING DE MICROCREDITOS,1815.8685026300002,1692.5340948599999,1290.34289126,1090.10094813,939.22943219
141200,202212,CARTERA Y LEASING DE MICROCREDITOS,1820.31058177,1706.7044076900002,1304.18751957,1102.0196709000002,945.09400487
141200,202301,CARTERA Y LEASING DE MICROCREDITOS,1830.92775861,1736.0150767100001,1314.8982758900001,1112.3243465399999,941.52080502
141200,202302,CARTERA Y LEASING DE MICROCREDITOS,1856.12141769,1762.50761096,1328.41056884,1132.71195129,953.32318319
141200,202303,CARTERA Y LEASING DE MICROCREDITOS,1882.8798568599998,1795.2961995599999,1347.40887477,1149.61778039,963.25771838
141200,202304,CARTERA Y LEASING DE MICROCREDITOS,1899.36384031,1812.04061363,1370.27568725,1157.9844535999998,978.48947927
141200,202305,CARTERA Y LEASING DE MICROCREDITOS,1921.14217797,1818.8547087,1378.58105103,1177.10001031,994.42118581
141200,202306,CARTERA Y LEASING DE MICROCREDITOS,1934.1747914300001,1805.23732254,1391.72273855,1198.93369584,1002.43519975
141200,202307,CARTERA Y LEASING DE MICROCREDITOS,1946.4404426800002,1793.22385735,1396.30141963,1221.84989818,1009.00333013
141200,202308,CARTERA Y LEASING DE MICROCREDITOS,1962.39599171,1792.79152477,1406.3876806199999,1243.12103983,1024.47246191
141200,202309,CARTERA Y LEASING DE MICROCREDITOS,1977.45819227,1707.5432942300001,1414.6800958499998,1274.5142863199999,1038.92489311
141200,202310,CARTERA Y LEASING DE MICROCREDITOS,1983.21408686,1698.05109093,1416.53286402,1294.03612828,1054.23135461
141205,202211,CATEGORIA A RIESGO NORMAL,1679.17394404,1544.0011842200001,1154.0914793499999,1037.68640355,881.4545024299999
141205,202212,CATEGORIA A RIESGO NORMAL,1673.71017215,1549.09805675,1179.84032348,1047.06322972,880.7347886499999
